Uneasy mishmash of styles and genres.,0
"This film's relationship to actual tension is the same as what christmas-tree flocking in a spray can is to actual snow : a poor -- if durable -- imitation.",0
"By the end of no such thing the audience , like beatrice , has a watchful affection for the monster.",1
Director rob marshall went out gunning to make a great one.,1
"Lathan and diggs have considerable personal charm, and their screen rapport makes the old story seem new.",1
A well-made and often lovely depiction of the mysteries of friendship.,1
"None of this violates the letter of behan 's book , but missing is its spirit, its ribald, full-throated humor.",0
"Although it bangs a very cliched drum at times, this crowd-pleaser's fresh dialogue, energetic music, and good-natured spunk are often infectious.",1
"It is not a mass-market entertainment but an uncompromising attempt by one artist to think about another.",1
This is junk food cinema at its greasiest.,0
It's also heavy-handed and devotes too much time to bigoted views.,0
It helps that lil bow wow...tones down his pint-sized gangsta act to play someone who resembles a real kid.,1
Watching the film is like reading a times portrait of grief that keeps shifting focus to the journalist who wrote it.,0
Moore's performance impresses almost as much as her work with haynes in 1995's safe.,1
"Reinforces the talents of screenwriter charlie kaufman, creator of adaptation and being john malkovich.",1
"Now trimmed by about 20 minutes, this lavish three-year-old production has enough grandeur and scale to satisfy as grown-up escapism.",1
"A journey through memory, a celebration of living, and a sobering rumination on fatality, classism, and ignorance.",1
"A remarkable 179-minute meditation on the nature of revolution.",1
"Waydowntown is by no means a perfect film, but its boasts a huge charm factor and smacks of originality.",1
It's just incredibly dull.,0
